"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1415856_at";-5,06819455885327;8,79168118547558;-28,6617717480839;2,35018732501108e-13;2,64607590922998e-09;20,6491449046223
"1435264_at";-4,93693792718005;9,16210550939795;-23,6930379274403;2,83092418174411e-12;1,06444224295252e-08;18,4537995704951
"1457434_s_at";-4,82763549970673;6,57469997166006;-23,4588415506383;3,22185274433644e-12;1,06444224295252e-08;18,3359091194922
"1449216_at";4,57901130741552;7,99345632699104;22,541748136963;5,41219203437339e-12;1,06444224295252e-08;17,8598164545157
"1435820_x_at";-5,46043039582355;7,72178257206158;-22,3109110852925;6,18657045347621e-12;1,06444224295252e-08;17,7362263524153
"1436778_at";-3,4316143900681;11,3264305542067;-22,1127533314037;6,9464468914103e-12;1,06444224295252e-08;17,6288855309906
"1455162_at";4,45151175918026;6,88346259749627;21,984606346461;7,49080132876601e-12;1,06444224295252e-08;17,5588465939603
"1421562_at";-5,89694078590044;7,12606966021937;-21,9682935419872;7,56331640786938e-12;1,06444224295252e-08;17,5498954043918
"1427481_a_at";-4,72853850969626;7,35328041273841;-21,7163315828868;8,78444224835492e-12;1,0989337252692e-08;17,4106122552091
"1419872_at";-3,51282990985099;12,3804174390745;-21,1820659099502;1,21323619522421e-11;1,35580224164389e-08;17,10875766634
"1454200_at";-5,1102824244735;7,60015034199732;-21,0309062435357;1,33115575282232e-11;1,35580224164389e-08;17,021705831514
"1442393_at";-4,21682093575428;8,35779482977054;-20,8641924580767;1,47562560534681e-11;1,35580224164389e-08;16,9248337327638
"1418826_at";-3,11954484778452;11,1643868267361;-20,7691421216001;1,56545245060579e-11;1,35580224164389e-08;16,8691933118351
"1419711_at";-4,18877145314088;6,71629733768096;-20,4810901469409;1,87541251044277e-11;1,41158677221418e-08;16,6987289777395
"1451780_at";-3,81122801245893;7,33195657082541;-20,2821920258277;2,12755260985377e-11;1,41158677221418e-08;16,5793787188886
"1419292_at";-4,36084448558212;8,72681109478367;-20,1868789699551;2,26106162294822e-11;1,41158677221418e-08;16,5217011254767
"1456315_a_at";-3,88573758459024;6,54700129749788;-20,1179318161781;2,36323023972347e-11;1,41158677221418e-08;16,4797809482204
"1418922_at";-4,61105474516924;5,36235734977316;-20,1126611339646;2,37124180139121e-11;1,41158677221418e-08;16,4765694917899
"1434298_at";-4,6010287314284;8,32388170248344;-20,1055431855372;2,38210752927164e-11;1,41158677221418e-08;16,4722309360654
"1456389_at";-4,02845369110755;7,60438302279712;-19,8347303889201;2,83790888627442e-11;1,4341148283714e-08;16,3058308776077
"1451911_a_at";-3,65831822542612;7,60336576334818;-19,8234165992915;2,85888207527347e-11;1,4341148283714e-08;16,2988221433992
"1433428_x_at";-4,29239699637675;11,1531248397215;-19,8083740058936;2,88702550379664e-11;1,4341148283714e-08;16,2894963256597
"1428367_at";-3,25615867968792;7,00513259424256;-19,7465167262458;3,00591825379344e-11;1,4341148283714e-08;16,2510613344399
"1448534_at";-4,6234744882663;11,1643662190631;-19,6771675060666;3,14548652001326e-11;1,4341148283714e-08;16,2078062144487
"1442582_at";5,56861181804906;4,58359740430265;19,641074130858;3,22086263370738e-11;1,4341148283714e-08;16,1852243770172
"1419873_s_at";-3,6672548404542;11,1689443146869;-19,5632234664214;3,39012166972635e-11;1,4341148283714e-08;16,1363545653977
"1415857_at";-4,21545991516215;9,01156510495184;-19,5414613849857;3,43912428866043e-11;1,4341148283714e-08;16,1226538133358
"1422671_s_at";5,93783482913259;6,07735975661616;19,4332693747091;3,69428637422042e-11;1,48549893883385e-08;16,0542792279749
"1417963_at";-5,15286681808219;10,0160180941318;-19,3296920919314;3,9576709080856e-11;1,53653161221158e-08;15,9884124161629
"1416148_at";4,1119694343698;8,4687115677786;19,1659546287577;4,41598942290004e-11;1,65732083041439e-08;15,8834642044287
"1419905_s_at";-4,4929599543791;8,34735832088379;-19,0716955291123;4,70539382724106e-11;1,70896868067442e-08;15,8225855340227
"1453481_at";4,12846097901653;4,07988567022939;18,699106515113;6,06494509651862e-11;2,0442011370453e-08;15,5785698868509
"1419906_at";-4,77560989260838;8,61516219687702;-18,6923901798753;6,09302049161083e-11;2,0442011370453e-08;15,5741211247094
"1445518_at";-3,68400186764963;7,69720820948961;-18,6734159658717;6,17309162976643e-11;2,0442011370453e-08;15,5615432941133
"1449249_at";4,11813977244744;3,37796826952744;18,5923488227444;6,52812848928739e-11;2,10000567602534e-08;15,5076427010319
"1424998_at";-4,74722717796323;7,56331551303036;-18,5192174402368;6,86723638003328e-11;2,14772817785541e-08;15,4587921607603
"1460436_at";-4,18286651849733;8,01195199916022;-18,4557122764127;7,17705019877827e-11;2,18395697805526e-08;15,4161964638421
"1422046_at";-4,03915698022181;8,60021651052798;-18,4108184045826;7,40509547401265e-11;2,19405184057654e-08;15,385985315188
"1448128_at";-4,4731123063099;10,748345244287;-18,3690249039111;7,6243861740383e-11;2,20110163932044e-08;15,3577866131831
"1456424_s_at";-3,35505988270703;11,6153633378964;-18,2525470410453;8,27312614775332e-11;2,32406155619821e-08;15,2788187075114
"1419907_s_at";4,5067583548271;5,33077309301237;18,210107893604;8,52400339717801e-11;2,32406155619821e-08;15,2499071184213
"1434295_at";-3,09250252327471;8,64772188707092;-18,1524671214247;8,87789162581013e-11;2,32406155619821e-08;15,2105194812318
"1459923_at";-5,46692088005302;5,50976004006942;-18,1400620455902;8,95609423352266e-11;2,32406155619821e-08;15,2020245944642
"1419609_at";-3,49036110935574;7,80135280848481;-18,1202702015114;9,08239705770682e-11;2,32406155619821e-08;15,1884579790058
"1456263_at";3,65649395841655;6,33715337466078;18,0430453599736;9,59378389627209e-11;2,40036473084728e-08;15,1353657493326
"1451563_at";-5,09162437309667;8,159737491888;-17,8250571321907;1,12112653447352e-10;2,70289324622574e-08;14,9841340384023
"1437277_x_at";-3,93779789362964;12,048743863828;-17,7855276286803;1,15347121884929e-10;2,70289324622574e-08;14,9564919483351
"1460283_at";-4,4183785023745;8,24778454494322;-17,7819152234114;1,15647654286042e-10;2,70289324622574e-08;14,9539625091852
"1426004_a_at";-3,60226020208697;9,47974966939481;-17,7583141690228;1,17631911417587e-10;2,70289324622574e-08;14,9374229362762
"1419202_at";-4,47191550203046;6,13680527582068;-17,6278628758331;1,29278841300128e-10;2,88484119786633e-08;14,8455658787091
"1454733_at";-3,08942854615723;7,96263911714208;-17,61307769153;1,30674927694451e-10;2,88484119786633e-08;14,8351079697625
"1450234_at";-3,10111246576475;10,8209446931176;-17,4016101527619;1,52514101022006e-10;3,28388464723365e-08;14,6844742146249
"1423805_at";-3,38203546453937;8,28755686175659;-17,3832775933102;1,54583787461927e-10;3,28388464723365e-08;14,6713216027138
"1450020_at";-3,98988107766574;9,47675365577093;-17,2776238201634;1,6711386594011e-10;3,38867369418482e-08;14,5952258219061
"1439382_x_at";-4,50888398845741;6,09428929769812;-17,2563666226516;1,69764048061636e-10;3,38867369418482e-08;14,5798545718574
"1421463_at";-3,64297465917009;9,20835877933957;-17,2328518977779;1,72748260069799e-10;3,38867369418482e-08;14,5628269567983
"1444778_at";3,90004613584523;4,49811931380343;17,2250010519209;1,73757078986689e-10;3,38867369418482e-08;14,5571363518055
"1422294_at";4,63372068676833;6,18676754047349;17,2187464549694;1,74565302658069e-10;3,38867369418482e-08;14,5526007604502
"1422781_at";3,86317644753937;5,79382208766429;17,1853070825263;1,78955285873648e-10;3,39664334210177e-08;14,5283215217659
"1420544_at";5,50808585708325;4,49735548368978;17,1699604797453;1,8100950397558e-10;3,39664334210177e-08;14,517161731711
"1425407_s_at";-3,66843858922427;10,3659445076241;-17,075482146393;1,9422594409014e-10;3,58490148280473e-08;14,4482203081864
"1429693_at";-3,66711004355774;9,29654576622731;-17,0210461616355;2,02307631918449e-10;3,67384133511261e-08;14,4083108204471
"1455856_at";4,88651469274229;4,9754007780664;16,9112128097774;2,197322441728e-10;3,9269291065739e-08;14,3273668554758
"1416985_at";-4,16481023697348;10,5814074594625;-16,8451286350478;2,30986180209299e-10;4,06355219215078e-08;14,2783920137747
"1437442_at";4,01736159138868;3,58053683124469;16,7970831344751;2,39555422537569e-10;4,1494684651546e-08;14,2426560170627
"1420789_at";3,86820283879681;3,1429417096719;16,7678295140622;2,44939428937929e-10;4,17844398547295e-08;14,2208436397188
"1416808_at";3,84163909007588;5,67979998663617;16,6287435546148;2,72373115845654e-10;4,57535430706345e-08;14,1165771920616
"1450430_at";-4,15328097141657;9,7690636432865;-16,6099119105355;2,76333682281122e-10;4,57535430706345e-08;14,102388426749
"1440865_at";-5,56877100755857;7,95134490088914;-16,5807585801637;2,82587285397019e-10;4,61108731345658e-08;14,0803888962559
"1445882_at";-3,5199811845834;7,98453653906248;-16,5203334514928;2,96037177845051e-10;4,69231997711353e-08;14,0346597449626
"1419328_at";3,28922111829629;6,37930484739709;16,5057505552305;2,99384876354761e-10;4,69231997711353e-08;14,0235968932047
"1425888_at";-5,01887949724353;6,06318201712312;-16,5027944448895;3,00068423796229e-10;4,69231997711353e-08;14,0213530670698
"1449146_at";3,75748219215435;6,22411507713007;16,4289713768504;3,17692709147206e-10;4,79418863261892e-08;13,9651789988904
"1445659_at";-3,10210181140888;7,99850138681482;-16,4222277519887;3,19357089836059e-10;4,79418863261892e-08;13,9600342321224
"1424814_a_at";3,32489821651521;7,97892235038283;16,388564269989;3,27806433230555e-10;4,8337250008057e-08;13,9343185332698
"1417378_at";4,05645056345539;7,67855259918319;16,3697598581859;3,32630258517459e-10;4,8337250008057e-08;13,9199293670253
"1448265_x_at";4,67218222672052;3,67718632566816;16,3341181766916;3,41983292050752e-10;4,87391124708787e-08;13,8926081956849
"1440955_at";3,6173784928585;7,98606506529025;16,1804975406665;3,85645245123288e-10;5,33636242670342e-08;13,7741244878051
"1452654_at";3,17613172045837;5,03110865397188;16,1706180165761;3,88650607504823e-10;5,33636242670342e-08;13,7664640797272
"1460039_at";3,44621308966892;6,11499455580212;16,1153775997715;4,05923913524793e-10;5,50638234021162e-08;13,7235406058868
"1442865_at";3,39418736665825;4,530072804062;16,0692551564206;4,20976504019522e-10;5,64258864137595e-08;13,6875833246383
"1422041_at";-3,5108804052353;9,59120237952449;-16,0468349281308;4,28508659637529e-10;5,67597529277522e-08;13,6700652104972
"1424111_at";3,92440785654941;7,38035342842421;15,9967060634412;4,45877104851928e-10;5,83736084131146e-08;13,6308037417269
"1436178_at";3,30812177088287;6,8926438778393;15,9426059341716;4,65471300652106e-10;6,02384065981846e-08;13,5882869303754
"1422978_at";-3,87593094059308;11,0268757492366;-15,9011506981478;4,81109605220946e-10;6,15546936952571e-08;13,5556052627283
"1439768_x_at";3,43601149411835;5,84252577487438;15,8697438510785;4,93331861710296e-10;6,24092520336654e-08;13,5307859592583
"1427313_at";-3,57358423825813;7,67866628088252;-15,8457458315699;5,02895021810419e-10;6,29121672284834e-08;13,5117868729595
"1426183_a_at";-3,01407675842497;7,32184252124038;-15,8267179581104;5,10618747079941e-10;6,31764447623413e-08;13,4967012513671
"1419605_at";-5,68181435503728;9,00771212507565;-15,6681102046837;5,80170073035431e-10;7,02380091645797e-08;13,3702138770079
"1455019_x_at";-3,09296315818105;10,0902560528186;-15,499688856826;6,65278824679265e-10;7,96848328411047e-08;13,2344356656864
"1425243_at";3,97220140904547;6,10253958209002;15,412384010327;7,14578314324809e-10;8,46888130629792e-08;13,163449966521
"1437434_a_at";-3,22085917054867;6,79730016961967;-15,3622619309449;7,44638068336764e-10;8,55497960347309e-08;13,1225090540673
"1425225_at";-3,34090331226194;9,15464497687872;-15,3271664113978;7,66490777260957e-10;8,71709056684961e-08;13,0937602024047
"1455900_x_at";-4,03722309517821;11,1596415369705;-15,2457837351202;8,19853077743324e-10;9,04973117873734e-08;13,026833381273
"1449666_at";-3,21566437333634;7,14543105146721;-15,2209896887056;8,368909168059e-10;9,14811148768702e-08;13,0063705131504
"1450276_a_at";4,30846852820219;5,35637851030108;15,1981600427659;8,5291452953107e-10;9,23361989229838e-08;12,9874986322067
"1417500_a_at";-4,29491384684681;10,6257348834989;-15,1782271423597;8,67173814829601e-10;9,28187018012663e-08;12,9709975358965
"1448261_at";-4,21763026421543;8,39920037286534;-15,1690020642144;8,73859347271892e-10;9,28187018012663e-08;12,963353201996
"1456226_x_at";-6,52285529729608;7,62044280504607;-15,1502098880599;8,87649668132457e-10;9,3402314144891e-08;12,9477663815575
"1431611_a_at";3,68597358585035;9,11254146191631;15,1172802174713;9,12379818670435e-10;9,51155960963928e-08;12,9204057001347
"1430604_a_at";-3,35719435753876;10,9090672997788;-15,0900076267599;9,33420280033332e-10;9,62471479669088e-08;12,8976992002059
"1420498_a_at";-3,73333439564618;10,0636305471131;-15,0811934418711;9,40330959797492e-10;9,62471479669088e-08;12,8903517538467
"1458941_at";-3,04057043973554;7,04634336197751;-14,9865045753629;1,01812606759782e-09;1,03271003559314e-07;12,8111421217969
"1445647_at";-3,90429667125032;8,50735384775431;-14,9144706220415;1,08191752440635e-09;1,07799198294611e-07;12,7505416107413
"1426754_x_at";-3,21419912539474;8,26220678616686;-14,89794217538;1,09715028385884e-09;1,08358026719006e-07;12,7365946204194
"1459990_at";-3,47946720304866;7,79276544476624;-14,8080315110631;1,18413712344746e-09;1,14932757524956e-07;12,6604502099862
"1449153_at";-5,73462946652618;8,3553065516472;-14,6509275492201;1,35436310047994e-09;1,2733776810924e-07;12,5262699086145
"1450019_at";-3,41800940963244;8,74880894978044;-14,6485058330541;1,35718377947498e-09;1,2733776810924e-07;12,5241902001653
"1429954_at";-5,52849449831183;9,63677018615152;-14,5909989091118;1,42604691699331e-09;1,29870918234594e-07;12,4747026409875
"1422013_at";-3,91358749928754;8,48826435091532;-14,587527517223;1,43032186349495e-09;1,29870918234594e-07;12,4717090526411
"1437284_at";3,84703513069566;6,90763587494426;14,4165824892588;1,65879230696313e-09;1,4366417372383e-07;12,3234005680587
